id,age_cat,is_recid
,Greater than 45,0
3473,Greater than 45,0
10845,25 - 45,0
6884,25 - 45,0
651,25 - 45,0
,25 - 45,0
3275,25 - 45,0
6632,Greater than 45,0
,Greater than 45,0
9686,Greater than 45,0
271,Less than 25,0
272,Less than 25,0
6706,Less than 25,0
9010,Greater than 45,0
,25 - 45,0
10082,25 - 45,0
8430,25 - 45,0
8431,25 - 45,0
8432,25 - 45,0
8433,25 - 45,0
8434,25 - 45,0
8435,25 - 45,0
,Less than 25,0
,Less than 25,0
,Greater than 45,0
,Greater than 45,0
59,25 - 45,0
4472,25 - 45,0
6624,25 - 45,0
6625,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
3798,25 - 45,0
3799,25 - 45,0
,25 - 45,0
7524,Greater than 45,0
,Greater than 45,1
,Greater than 45,1
4456,25 - 45,0
4457,25 - 45,0
4458,25 - 45,0
,25 - 45,0
9958,Less than 25,1
9959,Less than 25,1
9960,Less than 25,1
,Greater than 45,1
,Greater than 45,1
,25 - 45,1
,25 - 45,1
,Greater than 45,1
,Greater than 45,1
10098,Less than 25,0
5794,25 - 45,1
5795,25 - 45,1
8437,25 - 45,0
,Greater than 45,1
,Greater than 45,1
1155,Greater than 45,0
4524,25 - 45,1
4525,25 - 45,1
,Less than 25,1
,Less than 25,1
5358,Less than 25,0
5359,Less than 25,0
5592,Greater than 45,0
,25 - 45,0
,25 - 45,1
,25 - 45,1
9531,25 - 45,0
9869,25 - 45,0
517,Greater than 45,0
1700,25 - 45,0
9763,25 - 45,0
9764,25 - 45,0
,Greater than 45,1
5847,Greater than 45,0
5848,Greater than 45,0
,25 - 45,0
,25 - 45,0
5967,25 - 45,1
863,Less than 25,0
5225,Greater than 45,1
5226,Greater than 45,1
5227,Greater than 45,1
5228,Greater than 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,Greater than 45,0
,Greater than 45,0
2487,Greater than 45,0
2488,Greater than 45,0
,25 - 45,0
,25 - 45,0
477,25 - 45,0
478,25 - 45,0
3225,Greater than 45,0
3226,Greater than 45,0
10899,Greater than 45,0
10153,Greater than 45,0
548,25 - 45,0
549,25 - 45,0
,Greater than 45,0
4824,25 - 45,1
4825,25 - 45,1
1413,Greater than 45,0
1414,Greater than 45,0
898,25 - 45,0
899,25 - 45,0
900,25 - 45,0
1855,Greater than 45,0
1954,25 - 45,0
2575,25 - 45,0
2597,Greater than 45,0
3380,25 - 45,1
3381,25 - 45,1
3382,25 - 45,1
3505,Less than 25,1
3506,Less than 25,1
3507,Less than 25,1
5045,25 - 45,0
5046,25 - 45,0
5047,25 - 45,0
5048,25 - 45,0
6581,Less than 25,0
7587,25 - 45,0
7588,25 - 45,0
7589,25 - 45,0
6851,Less than 25,0
6852,Less than 25,0
10026,25 - 45,0
10027,25 - 45,0
10861,25 - 45,0
10862,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
2972,25 - 45,0
2973,25 - 45,0
3742,25 - 45,0
3743,25 - 45,0
8695,25 - 45,0
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
5877,Less than 25,0
5878,Less than 25,0
10115,25 - 45,0
2887,25 - 45,0
2888,25 - 45,0
3720,Greater than 45,0
8177,Less than 25,0
,25 - 45,0
,25 - 45,0
5091,25 - 45,1
5092,25 - 45,1
4426,25 - 45,0
,25 - 45,0
,Less than 25,0
,Greater than 45,1
,Greater than 45,1
10203,Greater than 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,25 - 45,0
,Less than 25,0
,Less than 25,0
,Less than 25,0
5509,Greater than 45,1
4644,Greater than 45,0
,Less than 25,0
,25 - 45,0
9589,25 - 45,1
9590,25 - 45,1
9591,25 - 45,1
3175,Greater than 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
870,25 - 45,0
,25 - 45,0
,25 - 45,0
755,25 - 45,1
5096,Greater than 45,0
5097,Greater than 45,0
5098,Greater than 45,0
,25 - 45,0
8495,Greater than 45,1
8496,Greater than 45,1
8497,Greater than 45,1
8019,Less than 25,1
8020,Less than 25,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,25 - 45,1
8110,Greater than 45,0
,25 - 45,1
,25 - 45,1
,25 - 45,1
3652,25 - 45,0
3653,25 - 45,0
10217,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,1
,25 - 45,1
10146,25 - 45,1
10147,25 - 45,1
4363,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
5584,25 - 45,1
871,25 - 45,0
872,25 - 45,0
1373,25 - 45,0
4331,Greater than 45,0
10431,25 - 45,0
,25 - 45,0
,25 - 45,0
4638,25 - 45,1
4639,25 - 45,1
7501,Less than 25,1
7502,Less than 25,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
9265,25 - 45,1
9266,25 - 45,1
7992,Greater than 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,1
,25 - 45,1
3285,Greater than 45,0
5854,Greater than 45,0
6009,Greater than 45,0
6010,Greater than 45,0
748,25 - 45,0
1148,Greater than 45,0
3047,Less than 25,0
6838,Greater than 45,0
,25 - 45,0
,Greater than 45,0
,25 - 45,1
,25 - 45,1
3091,25 - 45,0
7853,Greater than 45,0
7854,Greater than 45,0
,25 - 45,0
9862,25 - 45,1
9863,25 - 45,1
9864,25 - 45,1
5845,Less than 25,0
,Greater than 45,0
887,25 - 45,1
5941,25 - 45,0
8207,25 - 45,0
8208,25 - 45,0
,Greater than 45,0
,25 - 45,1
,25 - 45,1
2031,25 - 45,0
2032,25 - 45,0
4214,25 - 45,0
,Greater than 45,0
196,Greater than 45,0
197,Greater than 45,0
6563,Less than 25,0
10391,25 - 45,0
10392,25 - 45,0
5077,Less than 25,0
,25 - 45,0
,25 - 45,1
,25 - 45,1
10541,25 - 45,0
10542,25 - 45,0
10718,25 - 45,0
10719,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,25 - 45,1
5238,25 - 45,0
5239,25 - 45,0
8250,25 - 45,0
9349,25 - 45,0
,25 - 45,0
,Less than 25,0
,Less than 25,0
1045,25 - 45,0
5021,25 - 45,0
5022,25 - 45,0
5537,25 - 45,0
5538,25 - 45,0
6800,25 - 45,1
6801,25 - 45,1
6802,25 - 45,1
6803,25 - 45,1
,25 - 45,0
10484,Less than 25,0
,Greater than 45,0
5196,25 - 45,1
2185,25 - 45,0
,25 - 45,0
3772,Less than 25,1
3773,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
7838,25 - 45,0
9240,Greater than 45,0
9607,Greater than 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
4662,Less than 25,0
4663,Less than 25,0
8989,25 - 45,0
9918,25 - 45,0
9919,25 - 45,0
9920,25 - 45,0
9921,25 - 45,0
9922,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
5737,25 - 45,1
5738,25 - 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
1670,25 - 45,1
1671,25 - 45,1
3337,Greater than 45,0
3936,25 - 45,0
,Greater than 45,0
2761,25 - 45,1
2762,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
3014,Less than 25,0
6711,25 - 45,0
,Greater than 45,0
,Less than 25,0
,Less than 25,0
1238,25 - 45,0
1239,25 - 45,0
3740,25 - 45,0
3741,25 - 45,0
8142,25 - 45,0
8143,25 - 45,0
8144,25 - 45,0
8738,Greater than 45,0
,Greater than 45,0
,Less than 25,0
,Greater than 45,0
5395,25 - 45,1
5396,25 - 45,1
5397,25 - 45,1
1523,Greater than 45,1
1524,Greater than 45,1
1444,Less than 25,0
4333,25 - 45,0
5893,Greater than 45,0
6782,25 - 45,0
,25 - 45,0
,Greater than 45,1
,Greater than 45,1
266,Greater than 45,0
2444,25 - 45,0
2445,25 - 45,0
3308,Greater than 45,0
3982,25 - 45,0
3983,25 - 45,0
3984,25 - 45,0
,Less than 25,0
,25 - 45,0
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
7899,25 - 45,1
7327,25 - 45,0
9734,25 - 45,0
9735,25 - 45,0
9736,25 - 45,0
,Less than 25,0
6478,25 - 45,1
,Greater than 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
8940,Greater than 45,0
8941,Greater than 45,0
,25 - 45,0
,25 - 45,1
,25 - 45,1
6281,25 - 45,1
6282,25 - 45,1
1649,25 - 45,1
1650,25 - 45,1
6319,Greater than 45,0
6320,Greater than 45,0
,Less than 25,0
,Less than 25,0
,Greater than 45,0
,25 - 45,0
,25 - 45,0
2902,Greater than 45,1
7812,25 - 45,1
6219,Less than 25,0
7464,Greater than 45,0
8422,Less than 25,0
8728,25 - 45,0
,Less than 25,0
,Less than 25,0
,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,25 - 45,0
129,25 - 45,1
,25 - 45,1
,25 - 45,1
2030,25 - 45,0
2763,Less than 25,0
6301,25 - 45,0
10222,25 - 45,0
,Greater than 45,0
2353,Greater than 45,1
2354,Greater than 45,1
2355,Greater than 45,1
7201,Greater than 45,1
7202,Greater than 45,1
7203,Greater than 45,1
,25 - 45,1
4593,25 - 45,0
4594,25 - 45,0
,Less than 25,0
,Less than 25,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
4748,Less than 25,1
4749,Less than 25,1
3341,Less than 25,1
462,Greater than 45,0
1515,25 - 45,0
1631,25 - 45,0
2843,25 - 45,0
5386,25 - 45,0
6157,Greater than 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
9058,25 - 45,1
9059,25 - 45,1
9060,25 - 45,1
9061,25 - 45,1
9062,25 - 45,1
9063,25 - 45,1
9064,25 - 45,1
2276,Greater than 45,0
3933,25 - 45,0
5193,Greater than 45,0
5365,25 - 45,0
5366,25 - 45,0
10348,25 - 45,0
10349,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,Less than 25,0
,Greater than 45,0
,25 - 45,0
3109,Less than 25,1
3110,Less than 25,1
3111,Less than 25,1
7060,25 - 45,1
,25 - 45,1
,25 - 45,1
1305,25 - 45,0
1306,25 - 45,0
1835,Less than 25,0
1836,Less than 25,0
8591,25 - 45,0
,Less than 25,0
4397,25 - 45,1
4398,25 - 45,1
4399,25 - 45,1
1272,25 - 45,1
,Greater than 45,1
6395,25 - 45,0
2284,25 - 45,1
1781,25 - 45,0
1782,25 - 45,0
9600,25 - 45,0
,25 - 45,0
,Less than 25,0
,Less than 25,0
,Greater than 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
2570,Less than 25,1
8356,25 - 45,1
448,Greater than 45,0
2107,25 - 45,0
6326,Greater than 45,0
8663,25 - 45,0
9797,Less than 25,0
9798,Less than 25,0
10467,25 - 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,25 - 45,1
1648,25 - 45,0
6745,25 - 45,0
6746,25 - 45,0
9163,25 - 45,0
9164,25 - 45,0
10850,25 - 45,0
10851,25 - 45,0
10852,25 - 45,0
10853,25 - 45,0
10854,25 - 45,0
,Greater than 45,0
,25 - 45,0
10169,25 - 45,1
10170,25 - 45,1
10171,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
3920,25 - 45,1
9040,Less than 25,1
3180,25 - 45,1
3181,25 - 45,1
3182,25 - 45,1
3183,25 - 45,1
3296,25 - 45,1
3297,25 - 45,1
3298,25 - 45,1
3828,Greater than 45,0
3829,Greater than 45,0
3830,Greater than 45,0
5849,25 - 45,0
5850,25 - 45,0
7725,25 - 45,0
,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Less than 25,0
738,Less than 25,1
739,Less than 25,1
9900,Greater than 45,1
9901,Greater than 45,1
9902,Greater than 45,1
9903,Greater than 45,1
9904,Greater than 45,1
9905,Greater than 45,1
9906,Greater than 45,1
914,Less than 25,0
915,Less than 25,0
916,Less than 25,0
2766,Greater than 45,0
4826,Less than 25,0
5607,Less than 25,0
8367,25 - 45,0
9231,25 - 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
1932,Greater than 45,1
1933,Greater than 45,1
1934,Greater than 45,1
1935,Greater than 45,1
1936,Greater than 45,1
1937,Greater than 45,1
4964,Greater than 45,1
4965,Greater than 45,1
4966,Greater than 45,1
3546,Less than 25,1
3547,Less than 25,1
3548,Less than 25,1
3549,Less than 25,1
355,Greater than 45,0
1826,25 - 45,0
4928,25 - 45,0
7709,Less than 25,0
7710,Less than 25,0
7956,25 - 45,0
9846,25 - 45,0
9847,25 - 45,0
,Greater than 45,0
,25 - 45,0
,25 - 45,0
4188,25 - 45,1
3428,Greater than 45,0
4319,25 - 45,0
4436,Greater than 45,0
5106,25 - 45,0
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
2329,Less than 25,1
6108,25 - 45,1
479,Greater than 45,0
1440,Greater than 45,0
2350,25 - 45,0
2431,25 - 45,0
2432,25 - 45,0
2708,Less than 25,0
2709,Less than 25,0
5882,Greater than 45,0
7564,Less than 25,0
7565,Less than 25,0
8461,Greater than 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
,25 - 45,0
655,25 - 45,1
656,25 - 45,1
,25 - 45,1
,25 - 45,1
1552,25 - 45,0
1948,25 - 45,0
1949,25 - 45,0
1950,25 - 45,0
2141,Greater than 45,0
4629,Greater than 45,0
6825,25 - 45,0
6826,25 - 45,0
10345,25 - 45,0
10346,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,25 - 45,0
,25 - 45,0
,Less than 25,1
,Less than 25,1
207,25 - 45,1
3634,25 - 45,1
3635,25 - 45,1
,Greater than 45,1
1256,25 - 45,1
1257,25 - 45,1
4798,25 - 45,1
1736,25 - 45,0
3831,Greater than 45,0
4454,25 - 45,0
4455,25 - 45,0
7600,25 - 45,0
8415,25 - 45,0
,25 - 45,0
,Less than 25,0
,Less than 25,0
,Less than 25,0
,Greater than 45,0
,Greater than 45,0
,25 - 45,0
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,25 - 45,1
2749,Greater than 45,1
2750,Greater than 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
5954,25 - 45,0
5955,25 - 45,0
6668,25 - 45,0
7560,25 - 45,0
7571,25 - 45,0
7572,25 - 45,0
7843,25 - 45,0
,Greater than 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
3998,25 - 45,1
8658,25 - 45,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
403,25 - 45,0
2533,25 - 45,0
2534,25 - 45,0
,Less than 25,0
,25 - 45,0
,Less than 25,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
,Less than 25,1
6898,Less than 25,1
6899,Less than 25,1
6900,Less than 25,1
6901,Less than 25,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
1646,Less than 25,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
2798,25 - 45,0
6397,Less than 25,0
6398,Less than 25,0
6399,Less than 25,0
6400,Less than 25,0
6401,Less than 25,0
7426,Less than 25,0
7427,Less than 25,0
8138,25 - 45,0
8139,25 - 45,0
8140,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,Less than 25,0
,Less than 25,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
7797,25 - 45,1
7798,25 - 45,1
7799,25 - 45,1
7800,25 - 45,1
7801,25 - 45,1
7802,25 - 45,1
,Greater than 45,1
,Greater than 45,1
8023,25 - 45,1
8024,25 - 45,1
8025,25 - 45,1
8026,25 - 45,1
10999,25 - 45,1
11000,25 - 45,1
11001,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
9316,25 - 45,1
9317,25 - 45,1
,25 - 45,1
757,25 - 45,0
3306,25 - 45,0
3307,25 - 45,0
3814,Less than 25,0
3815,Less than 25,0
6121,25 - 45,0
8926,Less than 25,0
8927,Less than 25,0
8928,Less than 25,0
9615,Greater than 45,0
9988,25 - 45,0
9989,25 - 45,0
,25 - 45,0
,Less than 25,0
,25 - 45,0
,Greater than 45,0
,Less than 25,0
2006,25 - 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
1639,Less than 25,1
1640,Less than 25,1
1641,Less than 25,1
4508,25 - 45,1
4509,25 - 45,1
4510,25 - 45,1
4511,25 - 45,1
4512,25 - 45,1
154,Greater than 45,1
4010,Greater than 45,1
4011,Greater than 45,1
616,Greater than 45,0
4258,Less than 25,0
4435,25 - 45,0
7985,Greater than 45,0
8340,25 - 45,0
9675,25 - 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
5579,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,25 - 45,1
,25 - 45,1
3093,25 - 45,1
3094,25 - 45,1
3095,25 - 45,1
3096,25 - 45,1
4883,Greater than 45,1
4884,Greater than 45,1
4885,Greater than 45,1
4886,Greater than 45,1
4887,Greater than 45,1
4888,Greater than 45,1
4889,Greater than 45,1
1888,Less than 25,0
1889,Less than 25,0
1890,Less than 25,0
1891,Less than 25,0
2891,25 - 45,0
2892,25 - 45,0
3602,Less than 25,0
6480,25 - 45,0
8258,Greater than 45,0
,Less than 25,0
763,Less than 25,1
764,Less than 25,1
,Less than 25,1
,Less than 25,1
356,Less than 25,1
357,Less than 25,1
,25 - 45,1
,25 - 45,1
546,25 - 45,0
568,25 - 45,0
975,Less than 25,0
2768,Greater than 45,0
2769,Greater than 45,0
3453,Greater than 45,0
3895,Greater than 45,0
6133,25 - 45,0
9437,25 - 45,0
,25 - 45,0
,25 - 45,0
,Less than 25,0
,Less than 25,0
,Less than 25,1
8791,Greater than 45,1
8792,Greater than 45,1
8793,Greater than 45,1
,Less than 25,1
384,25 - 45,1
508,25 - 45,1
509,25 - 45,1
510,25 - 45,1
511,25 - 45,1
512,25 - 45,1
,Greater than 45,1
,Greater than 45,1
6816,25 - 45,0
7752,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,25 - 45,1
,25 - 45,1
491,25 - 45,1
492,25 - 45,1
493,25 - 45,1
6931,25 - 45,1
6932,25 - 45,1
581,Greater than 45,0
1022,25 - 45,0
1023,25 - 45,0
1024,25 - 45,0
3041,25 - 45,0
3042,25 - 45,0
5313,25 - 45,0
5314,25 - 45,0
5315,25 - 45,0
5316,25 - 45,0
5317,25 - 45,0
,25 - 45,0
,25 - 45,0
,Less than 25,0
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
5168,25 - 45,0
5169,25 - 45,0
7555,Greater than 45,0
7556,Greater than 45,0
10492,Greater than 45,0
10493,Greater than 45,0
,25 - 45,0
,Less than 25,0
,Less than 25,0
,Less than 25,1
,Less than 25,1
,Less than 25,1
654,Less than 25,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
6951,25 - 45,1
6952,25 - 45,1
6953,25 - 45,1
6954,25 - 45,1
6955,25 - 45,1
947,25 - 45,0
1698,25 - 45,0
3571,Greater than 45,0
6030,25 - 45,0
6031,25 - 45,0
6032,25 - 45,0
6033,25 - 45,0
6034,25 - 45,0
6470,Greater than 45,0
6471,Greater than 45,0
7139,25 - 45,0
7681,Less than 25,0
8899,Greater than 45,0
9841,25 - 45,0
9842,25 - 45,0
10982,Greater than 45,0
10983,Greater than 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,Greater than 45,0
7918,Greater than 45,1
10896,Less than 25,1
10897,Less than 25,1
10898,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
,Less than 25,1
1053,25 - 45,1
6876,Less than 25,1
6877,Less than 25,1
6878,Less than 25,1
3921,Less than 25,0
3922,Less than 25,0
5643,25 - 45,0
6090,25 - 45,0
6239,25 - 45,0
6240,25 - 45,0
6241,25 - 45,0
6242,25 - 45,0
6885,25 - 45,0
,25 - 45,0
,Greater than 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
,25 - 45,0
8411,25 - 45,1
8412,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
5246,25 - 45,1
5247,25 - 45,1
5248,25 - 45,1
294,25 - 45,0
4200,25 - 45,0
4271,25 - 45,0
4272,25 - 45,0
4558,Greater than 45,0
7646,25 - 45,0
8064,25 - 45,0
9456,25 - 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,25 - 45,0
,Greater than 45,1
,Greater than 45,1
1962,25 - 45,1
,25 - 45,1
373,25 - 45,0
374,25 - 45,0
2311,25 - 45,0
2667,Less than 25,0
2668,Less than 25,0
2734,25 - 45,0
5050,Greater than 45,0
5051,Greater than 45,0
5052,Greater than 45,0
5419,25 - 45,0
5420,25 - 45,0
5703,25 - 45,0
5846,25 - 45,0
6870,25 - 45,0
7176,25 - 45,0
7177,25 - 45,0
7855,25 - 45,0
8033,25 - 45,0
9917,Greater than 45,0
,Less than 25,0
,Less than 25,0
,Less than 25,0
,25 - 45,0
8470,25 - 45,1
8471,25 - 45,1
8472,25 - 45,1
8473,25 - 45,1
8474,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,Greater than 45,1
,Greater than 45,1
,Greater than 45,1
9037,Greater than 45,1
9038,Greater than 45,1
9039,Greater than 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
,25 - 45,1
2857,Greater than 45,0
4936,25 - 45,0
4937,25 - 45,0
7106,Greater than 45,0
7391,Greater than 45,0
7401,Less than 25,0
7402,Less than 25,0
7403,Less than 25,0
10468,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
,Greater than 45,0
